uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
a968a931de3c8e19827f372b66932725,NACIONAL 3.548 nuevos casos 288.089 total de casos 131 nuevos fallecidos (inscritos en Registro Civil) 6.051 total de personas fallecidos por COVID-19,EN VIVO: Autoridades informan de 180 nuevos casos y 6 fallecidos en la región.,https://www.elrancaguino.cl/2020/07/03/en-vivo-autoridades-informan-de-180-nuevos-casos-en-la-region/,rancaguino,www.elrancaguino.cl,7,13
c6dc3fa4473b8d850a18b4193ed5b37e, ,Prisión preventiva para sujeto que escondía droga al interior de bus interprovincial.,https://www.elrancaguino.cl/2020/07/09/prision-preventiva-para-sujeto-que-escondia-droga-al-interior-de-bus-interprovincial/,rancaguino,www.elrancaguino.cl,8,0
a8608b35fc15936f79c44f95c1e16033,Dr. Fernando Soto Pinto,"Pandemia por COVID-19, delimitando responsabilidades…",https://www.elrancaguino.cl/2020/07/09/pandemia-por-covid-19-delimitando-responsabilidades/,rancaguino,www.elrancaguino.cl,2,3
224dfe3a3fb91804f6acfaf3a7595314,"En las crisis, más aún en la cuarentena que hoy nos afecta es cuando surge lo mejor y lo peor de lo nuestro,  surgen los valores humanos y también las grandes miserias también humanas. Entre las peores está el aumento de la violencia intrafamiliar, el egoísmo, los delincuentes que roban lo poco que otros tienen, quienes ven solo el beneficio propio y un largo etc. y entre las mejores el sentir que la interacción humana cara a cara es esencial y no reemplazable por pantallas, quienes comparten lo poco que tienen, quienes buscan ayudar a los demás y quienes se sacrifican quedándose en casa.",Ser un buen vecino en época de pandemia.,https://www.elrancaguino.cl/2020/07/09/ser-un-buen-vecino-en-epoca-de-pandemia/,rancaguino,www.elrancaguino.cl,5,43
f1a77701c7b309c9c5642f0a900b75c6,Gisella Abarca,Región ya superó los 8 mil casos de covid 19.,https://www.elrancaguino.cl/2020/07/10/region-ya-supero-los-8-mil-casos-de-covid-19/,rancaguino,www.elrancaguino.cl,5,2
c2fd416fc7d4b868fb4f298333121054,"Los 99 casos de hoy corresponden a 46 personas de Rancagua, 10 de Machalí, 8 de Rengo, 6 de San Fernando, 3 de Graneros, 3 de Olivar, 3 de Santa Cruz, 3 de Mostazal, 3 de Nancagua, 2 de Requinoa, 2 de Codegua, 2 de Coltauco y 1 caso de las comunas de Chimbarongo, Pichidegua, Coinco, Placilla, Chépica y 3 casos sin notificar.",EN VIVO: 12 nuevos fallecidos y 99 nuevos casos se informan hoy en la región.,https://www.elrancaguino.cl/2020/07/08/en-vivo-12-nuevos-fallecidos-y-99-nuevos-casos-se-informan-hoy-en-la-region/,rancaguino,www.elrancaguino.cl,8,27
09475cd51438a54785ea76f1706bf35a, ,Seremi de Salud O´Higgins comenzó búsqueda activa de casos Covid 19.,https://www.elrancaguino.cl/2020/07/06/seremi-de-salud-ohiggins-comenzo-busqueda-activa-de-casos-covid-19/,rancaguino,www.elrancaguino.cl,7,0
0104adf30c86ec1b8ba3061aca258bf3,Fernando Ávila F.,Incendio estructural movilizó a Bomberos de Graneros.,https://www.elrancaguino.cl/2020/07/09/incendio-estructural-movilizo-a-bomberos-de-graneros/,rancaguino,www.elrancaguino.cl,5,3
c145537f521a65295bb90e7dddaf7c67,Rodrigo Zúñiga Morales.,El comercio y la pandemia.,https://www.elrancaguino.cl/2020/07/07/el-comercio-y-la-pandemia/,rancaguino,www.elrancaguino.cl,2,3
521e8a393a82dc51b097822f1665a40a, ,"Andrés Music, gerente General, Codelco División El Teniente: «Chile y la Región necesitan los recursos que genera El Teniente»",https://www.elrancaguino.cl/2020/07/08/andres-music-gerente-general-codelco-division-el-teniente-chile-y-la-region-necesitan-los-recursos-que-genera-el-teniente/#comments,rancaguino,www.elrancaguino.cl,13,0
41115e4db489b343d57230f0cd0fa7ed,Fernando Ávila F. ,Perro de Carabineros detecta droga detrás del asiento de auxiliar de bus.,https://www.elrancaguino.cl/2020/07/08/perro-de-carabineros-detecta-droga-detras-del-asiento-de-auxiliar-de-bus/,rancaguino,www.elrancaguino.cl,8,3
6bb1cf920acd8e65751b3b713c621896, ,Volkswagen Chile lanza nueva imagen corporativa e inicia una nueva etapa.,https://www.elrancaguino.cl/2020/07/07/volkswagen-chile-lanza-nueva-imagen-corporativa-e-inicia-una-nueva-etapa/#comments,rancaguino,www.elrancaguino.cl,9,0
9b6877742f869cc1a7bc471e8f10fbf4,"La Dirección Regional de Gendarmería en O’Higgins confirmó nuevos casos de Coronavirus, correspondiente a condenados de los módulos 41, 42, 43 y 44 del Complejo Penitenciario de Rancagua, quienes fueron testeados en su totalidad el viernes pasado. De los 210 internos sometidos a PCR, 166 resultaron negativos, mientras que 44 dieron positivo al test. Dicho diagnóstico fue confirmado hoy por la Seremi de Salud.",Gendarmería confirma 44 nuevos casos de Covid 19 en cárcel de Rancagua.,https://www.elrancaguino.cl/2020/07/06/gendarmeria-confirma-44-nuevos-casos-de-covid-19-en-carcel-de-rancagua/,rancaguino,www.elrancaguino.cl,7,33
fc39c520267751e205586d2a60632ecd, ,Mesa virtual del deporte y teletrabajo con Minera Valle Central.,https://www.elrancaguino.cl/2020/07/10/mesa-virtual-del-deporte-y-teletrabajo-con-minera-valle-central/,rancaguino,www.elrancaguino.cl,7,0
7e92958ee1bd59dbba3b026a4ebcfae7,"El seremi de Energía, Pedro Pablo Ogaz junto al Director Regional de la SEC, Ricardo Miranda, realizaron una fiscalización, de la entrega de cilindros o “balones de gas”, en la comunas de Olivar, Requínoa, Rancagua y Machalí, para verificar el cumplimiento con todas las exigencias impuestas por el organismo regulador para evitar la propagación de Covid-19, entre los usuarios de este tipo de combustibles.",Fiscalizan entrega de cilindros de gas en periodo de Pandemia.,https://www.elrancaguino.cl/2020/07/10/fiscalizan-entrega-de-cilindros-de-gas-en-periodo-de-pandemia/,rancaguino,www.elrancaguino.cl,6,34
3a47e8ad3ffd5bbd3929d965f52438ef," Osvaldo Artaza, Decano Facultad de Ciencias de la Salud Universidad de Las Américas.",Covid-19 y trabajadores de la salud.,https://www.elrancaguino.cl/2020/07/08/covid-19-y-trabajadores-de-la-salud/,rancaguino,www.elrancaguino.cl,2,8
285d831e5faf9c608c91cf679f996062, ,No solo son las personas las porfiadas.,https://www.elrancaguino.cl/2020/07/08/no-solo-son-las-personas-las-porfiadas/,rancaguino,www.elrancaguino.cl,3,0
53ca6e13846651039ec47bacd751d549, ,Hombre  con amplio prontuario policial detenido por robar en domicilio de Placilla.,https://www.elrancaguino.cl/2020/07/09/hombre-con-amplio-prontuario-policial-detenido-por-robar-en-domicilio-de-placilla/,rancaguino,www.elrancaguino.cl,8,0
0b9d84e453a6061ab8dca55f3a483abb,Fernando Ávila F.,Carabineros indica que mujer víctima de violación y que fue detenida informó del hecho en el Hospital de Pichilemu.,https://www.elrancaguino.cl/2020/07/10/carabineros-indica-que-mujer-victima-de-violacion-y-que-fue-detenida-informo-del-hecho-en-el-hospital-de-pichilemu/,rancaguino,www.elrancaguino.cl,10,3
