uid,body,title,url,newspaper_uid,host,n_tokens_titletitle,n_tokens_titlebody
edafd5d2bf3f33c6eb66920ba02c10fe,"El anuncio gubernamental de permitir el retorno a los entrenamientos de los clubes de fútbol que residen en zonas en cuarentena, un beneficio que también se extiende a los deportistas olímpicos, añade una certeza más a la posibilidad de que el fútbol chileno vuelva a la competencia. O, al menos, permite ver el retorno como una realidad más próxima. El 8 de junio, el Consejo de Presidentes aprobó la fecha para el retorno del fútbol. Ese día, la ANFP comunicó que los torneos se reanudarían el 31 de julio, aunque con una condición relevante. “Esta fecha está absolutamente sujeta a la obtención de la autorización por parte de la autoridad sanitaria”, precisaba. El plazo se correrá una o dos semanas, al menos.",¿Cuándo es el pitazo inicial en el fútbol chileno? Las fechas y obligaciones que siguen al retorno a los entrenamientos,https://www.latercera.com//la-tercera-pm/noticia/cuando-es-el-pitazo-inicial-en-el-futbol-chileno-las-fechas-y-obligaciones-que-siguen-al-retorno-a-los-entrenamientos/CZZVR55H3FD5ZHE4MDUQ6NKDQA/,latercera,www.latercera.com,9.0,57.0
6ebd64ca07536dd4d4e68595f70e3600,"El Sistema de Registro, Alerta y Vigilancia de Enfermedades de Notificación Obligatoria, conocido como Epivigila, no consideró el 8 de junio todos los casos de Covid confirmados por los laboratorios que hacen el examen PCR.",Contraloría instruye sumario tras detectar “inconsistencias” en cifras de contagios de Covid-19 proporcionadas por sistema Epivigila,https://www.latercera.com//nacional/noticia/contraloria-instruye-sumario-tras-detectar-inconsistencias-en-cifras-de-contagios-de-covid-19-proporcionadas-por-sistema-epivigila/XVD36ECHRJF7RIQ4ZOWSRM3HLE/,latercera,www.latercera.com,11.0,18.0
068b124f583161c4b20f1199c77b709e,"Nada menos que 1.348 caballos son protagonistas en el último desafío planteado por Hennessey Performance, que puso a correr a un Jeep Grand Cherokee Trackhawk (debutó en Chile en mayo) contra un Lamborghini Urus. El preparador estadounidense, que seguramente está planeando algo aún más brutal, dice que ambos modelos -el estadounidense y el italiano- corresponden a las versiones de serie (aunque solo por ahora).",Uno solo gana: el Lamborghini Urus se bate a duelo con el Jeep Grand Cherokee Trackhawk,https://www.latercera.com//mtonline/noticia/uno-solo-gana-el-lamborghini-urus-se-bate-a-duelo-con-el-jeep-grand-cherokee-trackhawk/3ID7FB4GBZE3NOFXNWCGSTEF7Y/,latercera,www.latercera.com,10.0,35.0
05b4ef03e13e82d69e10ca599bedd967,"Los reguladores colocaron números al proyecto que permite el retiro del 10% de los fondos de pensiones que se discute en la Cámara de Diputados y, al mismo tiempo, desglosaron los efectos que una medida de esta magnitud puede tener sobre el mercado de capitales y las mismas pensiones.","Retiro de fondos: monto promedio sería de $1,3 millones y solo el 7% podría sacar el tope",https://www.latercera.com//pulso/noticia/retiro-de-fondos-monto-promedio-seria-de-13-millones-y-solo-el-7-podria-sacar-el-tope/EJBWAF2U3FA2JKNZFAKF42EPAA/,latercera,www.latercera.com,9.0,23.0
bca5ba2cb8d470a2f79e553efe98bcd0,"Freddie Mercury no solo es sinónimo de un amplio rango vocal, un talento único para la composición y un desplante inigualable sobre el escenario. Es también considerado rupturista y un ícono de la comunidad homosexual, tras revelar públicamente su orientación sexual siendo una estrella en la escena musical de los 70 y 80. ","La eterna amistad de Freddie Mercury y Mary Austin: “Despierto o dormido, me sentaba todos los días junto a su cama”",https://www.latercera.com//culto/2020/07/13/la-eterna-amistad-de-freddie-mercury-y-mary-austin-despierto-o-dormido-me-sentaba-todos-los-dias-junto-a-su-cama/,latercera,www.latercera.com,12.0,27.0
6babb63fa2929623613613736bbe321a,"El presidente brasileño Jair Bolsonaro, en cuarentena desde hace casi una semana tras dar positivo por coronavirus, anunció este lunes que se realizará un nuevo examen mañana martes y confesó que esperará ansioso los resultados porque no soporta quedarse en casa.","Bolsonaro y su cuarentena por coronavirus: “No aguanto esta rutina de quedarme en casa, es horrible”",https://www.latercera.com//mundo/noticia/bolsonaro-y-su-cuarentena-por-coronavirus-no-aguanto-esta-rutina-de-quedarme-en-casa-es-horrible/YAKRUOKYVJEOZNGCCBMDHXTNBM/,latercera,www.latercera.com,8.0,26.0
7ecfa705d336a0f9e41cea0140a9041f,"El subsecretario de Redes Asistenciales, Arturo Zúñiga, se refirió esta noche al sumario instruido por Contraloría que detectó “inconsistencias” en las cifras de contagiados proporcionadas por el sistema Epivigila, el que no consideró el 8 de junio pasado todos los casos de Covid confirmados por los laboratorios que hacen el examen PCR.",Subsecretario Zúñiga y sumario de Contraloría: “Los casos faltantes se sumaron el 16 de junio”,https://www.latercera.com//nacional/noticia/subsecretario-zuniga-y-sumario-de-contraloria-los-casos-faltantes-se-sumaron-el-16-de-junio/FORUVR2AXFADJKV56NLQGO2ESU/,latercera,www.latercera.com,8.0,27.0
bef4dd4dc9d517f3d16d4e3a40ceafe6,"Una segunda ola de nuevo coronavirus este invierno podría causar hasta 120.000 muertos en los hospitales del Reino Unido en el peor escenario “razonable” sin preparación adecuada, según un estudio de la Academia de Ciencias Médicas.",Científicos estiman que una segunda ola de Covid-19 podría causar 120.000 muertos en Reino Unido ,https://www.latercera.com//mundo/noticia/cientificos-dicen-que-una-segunda-ola-de-covid-19-podria-causar-120000-muertos-en-reino-unido/LCJR4T2QGBGZXCDNICGSFIOUFI/,latercera,www.latercera.com,9.0,21.0
069a07263f0c1c20a464f5134ed77af1,"El gobierno de Bolivia comenzará a negociar la intervención de hospitales y cementerios privados ante el riesgo de colapso de los servicios públicos sanitarios y mortuorios por la pandemia, anunció este lunes el ministro de Gobierno (Interior), Arturo Murillo.",Bolivia anuncia intervención en clínicas y cementerios privados en medio de la crisis del coronavirus ,https://www.latercera.com//mundo/noticia/bolivia-anuncia-intervencion-en-clinicas-y-cementerios-privados-en-medio-de-la-crisis-del-coronavirus/2SS46YVQWBDELABUHGPTC6M5BA/,latercera,www.latercera.com,9.0,22.0
a78321b9bb4df4f34f78216642e84b71,"Hace pocos días te contamos de una tecnología que Toyota introdujo en Japón para evitar las aceleraciones por error en vehículos automáticos, lo que diariamente ocasiona accidentes con diferentes resultados alrededor del mundo. En redes sociales algunos usuarios comentaron que esta equivocación podría evitarse simplemente administrando los pedales con ambos pies. ¿Es realmente así? ¿Los autos automáticos se conducen con uno o con dos pies?",¿Con uno o los dos pies? Cómo se conduce un vehículo automático,https://www.latercera.com//mtonline/noticia/con-uno-o-los-dos-pies-como-se-conduce-un-vehiculo-automatico/VU7GKTCR4RDDPAUXFMDANVEN5E/,latercera,www.latercera.com,6.0,39.0
